seed,loss,corrupt,avg_rtt,avg_comm_time
100,0.0,0.0,10.913303903317317,10.913303903317317
200,0.0,0.0,11.090213263343996,11.090213263343996
300,0.0,0.0,11.096362743003235,11.096362743003235
400,0.0,0.0,11.046291329691467,11.046291329691467
500,0.0,0.0,11.084813379314465,11.084813379314465
100,0.05,0.0,11.01999189060295,14.29632422864485
200,0.05,0.0,11.144602222219012,14.23509649952686
300,0.05,0.0,11.258676643751919,14.348113406780973
400,0.05,0.0,11.20096321771245,14.774561998352
500,0.05,0.0,11.26582557430984,14.366996917630736
100,0.1,0.0,11.086905074676093,17.591796136356663
200,0.1,0.0,11.587214165939296,18.969266701253986
300,0.1,0.0,11.328223920637699,18.931701528976834
400,0.1,0.0,11.172054181917144,18.272927182836447
500,0.1,0.0,11.33572818859077,17.818812372203503
100,0.15,0.0,11.213834116011252,21.790019470808968
200,0.15,0.0,11.8282738410915,23.564314096499395
300,0.15,0.0,11.745129216133838,23.254559801019024
400,0.15,0.0,11.449196192911204,21.917131015961342
500,0.15,0.0,11.770387180332675,22.395332682271793
100,0.2,0.0,12.065194430482215,27.11178298287921
200,0.2,0.0,11.859748339675615,28.2436484878077
300,0.2,0.0,11.840219729488453,28.770747306741185
400,0.2,0.0,11.810005929310414,27.73054786828214
500,0.2,0.0,12.16046071452247,28.179452497939884
100,0.0,0.05,11.008419664626892,14.486876552629049
200,0.0,0.05,11.14780373799475,14.35874004333615
300,0.0,0.05,11.09675693225215,14.040984679707961
400,0.0,0.05,11.037284176389008,14.01498156682026
500,0.0,0.05,11.207794170179682,14.316832789086567
100,0.0,0.1,11.05817111264899,18.516043549912922
200,0.0,0.1,11.509493339813565,18.36262190618567
300,0.0,0.1,11.240114676559196,17.748605578782904
400,0.0,0.1,11.418964821870945,17.83078981902532
500,0.0,0.1,11.327169580497456,18.180503860591262
100,0.0,0.15,11.397840112130003,22.149321054719653
200,0.0,0.15,11.688723211984954,22.532224036378068
300,0.0,0.15,11.728255969050753,22.511189794610093
400,0.0,0.15,11.823054867242744,22.743021942808443
500,0.0,0.15,11.411356619260612,22.779153721732026
100,0.0,0.2,11.887180127299974,27.045111728263514
200,0.0,0.2,12.280830227724627,27.49593539231536
300,0.0,0.2,12.15668472463421,27.8883776665545
400,0.0,0.2,12.630521367933254,28.836651984483854
500,0.0,0.2,12.390552801514591,28.32749983214784
